-0.052701	-2.1319	-134.46
-0.32255	-2.3429	-135.46
-0.97023	-1.9841	-133.46
-1.7094	-1.2271	-140.46
-1.4644	-1.717	-183.46
-0.74813	-2.5524	-182.46
0.34547	-3.5762	-175.46
1.3677	-3.5116	-179.46
1.3911	-2.1484	-82.456
-0.87813	1.6025	24.544
-1.8431	3.1628	115.54
-0.73004	1.9047	68.544
1.089	0.71581	109.54
1.8584	1.3937	128.54
2.0084	1.0588	113.54
1.884	0.71933	101.54
1.5254	0.53573	93.544
1.0324	0.32653	38.544
-0.065877	-1.3747	-41.456
-0.92264	-3.9114	-259.46
-1.0473	-3.6019	-209.46
-0.52617	0.80458	37.544
-0.41842	3.7863	176.54
-0.13881	3.1872	145.54
-0.026977	2.3232	111.54
-0.57717	2.3915	133.54
-1.0256	2.2984	123.54
-0.73691	1.3127	66.544
-1.1243	0.59665	2.5441
-2.0956	-0.64026	-142.46
-2.4303	-2.9473	-281.46
-1.1641	-7.1451	-451.46
-0.60726	-7.8076	-467.46
-0.06436	-3.0948	-162.46
-0.12378	4.8506	201.54
0.50081	4.7852	295.54
0.55317	3.3154	224.54
0.35183	3.0922	208.54
0.53829	3.0997	221.54
0.68353	3.9473	223.54
-0.22835	6.8621	377.54
-0.80433	8.7801	384.54
-0.7283	8.6221	449.54
-0.53833	6.6266	334.54
-0.16424	1.79	111.54
0.1851	-2.0527	-61.456
0.36233	-3.2805	-112.46
0.57439	-2.9125	-108.46
0.49548	-2.7832	-81.456
0.34478	-3.0564	-114.46
0.57949	-4.3958	-212.46
0.91191	-5.728	-274.46
1.2258	-6.5955	-298.46
1.5333	-7.0188	-375.46
2.0405	-7.0793	-363.46
1.9726	-6.521	-300.46
1.9636	-5.2712	-250.46
1.958	-3.6306	-100.46
1.602	-2.1587	-5.4559
0.57816	0.18267	56.544
-0.054376	1.9142	106.54
-0.27504	2.4674	124.54
-0.47868	2.9349	140.54
-0.67118	3.2982	148.54
-0.92845	3.935	169.54
-1.3173	4.5214	214.54
-1.5413	5.0761	193.54
-1.9127	5.9777	243.54
